epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,464.123,1.72087,1.79732,1.55827,0.91574,0.98884,0.965,0.45193,1.76128,1.74956,1.74284,0.001244,0.001244,0.001244
44,474.195,1.57642,1.51159,1.49603,0.55646,0.90909,0.75405,0.38514,1.70103,2.09182,1.65466,0.001226,0.001226,0.001226
45,484.691,1.64949,1.54373,1.55067,0.55646,0.90909,0.75405,0.38514,1.70103,2.09182,1.65466,0.001208,0.001208,0.001208
46,494.702,1.66481,1.59111,1.51629,0.39779,0.81818,0.45854,0.26869,1.72899,2.20495,1.70537,0.00119,0.00119,0.00119
47,504.975,1.65116,1.89132,1.58897,0.80987,0.7766,0.85384,0.40281,1.84186,1.78047,1.73627,0.001172,0.001172,0.001172
48,515.055,1.52975,1.41772,1.38788,0.73291,0.99798,0.90387,0.43396,1.8177,1.76377,1.69888,0.001154,0.001154,0.001154
49,524.941,1.47456,1.39439,1.42682,0.73291,0.99798,0.90387,0.43396,1.8177,1.76377,1.69888,0.001136,0.001136,0.001136
50,535.476,1.53313,1.56031,1.43915,0.88593,0.70791,0.8745,0.40729,1.76226,1.83071,1.64888,0.001118,0.001118,0.001118
51,545.745,1.47264,1.39723,1.39028,0.76697,0.90909,0.89594,0.43658,1.67558,1.82502,1.58978,0.0011,0.0011,0.0011
52,556.29,1.58983,1.37146,1.49195,0.88525,0.90909,0.91139,0.4563,1.65365,1.79216,1.53632,0.001082,0.001082,0.001082
53,566.517,1.59828,1.38059,1.50233,0.88525,0.90909,0.91139,0.4563,1.65365,1.79216,1.53632,0.001064,0.001064,0.001064
54,577.551,1.58683,1.57309,1.45875,0.90825,0.90065,0.94892,0.46124,1.65788,1.76314,1.52696,0.001046,0.001046,0.001046
55,587.905,1.63852,1.3753,1.42844,0.97736,0.81818,0.96731,0.47626,1.55645,1.63839,1.48039,0.001028,0.001028,0.001028
56,598.082,1.54927,1.47788,1.43169,0.81801,0.81818,0.87921,0.4541,1.57724,1.59979,1.53224,0.00101,0.00101,0.00101
